description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g,Cluster,meal_type
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",Survey (FNDDS),115.0,7.67,5.96,7.18,1.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",Survey (FNDDS),115.0,7.8,5.24,7.16,1.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",Survey (FNDDS),110.0,8.24,4.48,6.99,1.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",Survey (FNDDS),231.0,29.41,0.0,12.04,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",Survey (FNDDS),251.0,18.17,0.47,18.98,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Survey (FNDDS),257.0,25.9,0.0,16.46,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef and vegetables, Hawaiian style",Survey (FNDDS),225.0,28.12,2.5,11.32,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef as ingredient in recipes,Survey (FNDDS),130.0,6.19,12.85,6.16,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef burgundy,Survey (FNDDS),127.0,6.15,11.7,6.36,0.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef chow mein or chop suey with noodles,Survey (FNDDS),261.0,25.55,0.0,16.82,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef chow mein or chop suey, no noodles",Survey (FNDDS),272.0,25.45,0.0,18.18,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Beef curry,Survey (FNDDS),228.0,21.86,1.05,14.54,0.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef curry with rice,Survey (FNDDS),257.0,25.9,0.0,16.46,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef dinner, NFS, frozen meal",Survey (FNDDS),231.0,27.13,0.0,13.04,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef egg foo yung,Survey (FNDDS),131.0,6.68,14.94,5.05,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef jerky,Survey (FNDDS),129.0,6.63,14.63,5.03,1.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef rolls, stuffed with vegetables or meat mixture, tomato-based sauce",Survey (FNDDS),151.0,8.78,18.29,4.91,1.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef salad,Survey (FNDDS),139.0,10.4,7.44,7.64,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef sausage,Survey (FNDDS),130.0,6.77,14.86,5.07,1.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef sausage with cheese,Survey (FNDDS),127.0,6.65,13.81,5.04,1.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef shish kabob with vegetables, excluding potatoes",Survey (FNDDS),125.0,6.6,13.58,5.06,1.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef steak with onions, Puerto Rican style",Survey (FNDDS),148.0,8.71,16.71,5.19,1.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef stew with potatoes, Puerto Rican style",Survey (FNDDS),139.0,10.31,7.6,7.58,1.2,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef stroganoff,Survey (FNDDS),126.0,6.74,13.74,5.06,1.5,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef stroganoff with noodles,Survey (FNDDS),257.0,25.9,0.0,16.46,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef taco filling: beef, cheese, tomato, taco sauce",Survey (FNDDS),251.0,28.39,0.0,15.35,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef wellington,Survey (FNDDS),131.0,8.17,12.97,5.43,1.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef with cream or white sauce,Survey (FNDDS),128.0,5.33,12.19,6.69,1.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef with gravy,Survey (FNDDS),126.0,5.3,12.36,6.34,1.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef with mushroom sauce,Survey (FNDDS),148.0,11.78,5.8,8.81,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef with soy-based sauce,Survey (FNDDS),126.0,5.39,12.28,6.56,1.6,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef with spaetzle or rice, vegetable, frozen meal",Survey (FNDDS),127.0,8.14,11.82,5.43,1.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef with sweet and sour sauce,Survey (FNDDS),127.0,5.28,11.13,7.06,1.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
Beef with tomato-based sauce,Survey (FNDDS),129.0,5.23,11.17,7.16,1.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef with vegetable, diet frozen meal",Survey (FNDDS),126.0,6.93,13.46,5.15,1.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",Survey (FNDDS),149.0,11.75,5.96,8.82,1.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",Survey (FNDDS),126.0,5.33,11.13,6.96,1.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",Survey (FNDDS),131.0,6.97,14.97,5.1,1.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",Survey (FNDDS),115.0,18.62,0.64,3.69,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, bacon, cooked",Survey (FNDDS),115.0,18.62,0.64,3.69,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, bacon, reduced sodium, cooked",Survey (FNDDS),143.0,8.18,15.85,5.24,0.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, brisket",Survey (FNDDS),135.0,5.8,16.13,5.18,0.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, corned",Survey (FNDDS),133.0,5.81,15.73,5.23,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, cow head",Survey (FNDDS),149.0,7.62,20.0,4.29,0.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, dried, chipped, cooked in fat",Survey (FNDDS),145.0,10.88,7.75,7.96,0.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, dried, chipped, uncooked",Survey (FNDDS),132.0,5.91,16.08,4.99,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Survey (FNDDS),147.0,8.58,15.54,5.51,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Survey (FNDDS),131.0,5.77,15.01,5.18,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, for use with vegetables",Survey (FNDDS),130.0,5.78,14.69,5.23,0.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, ground",Survey (FNDDS),149.0,7.54,18.38,4.86,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, ground, patty",Survey (FNDDS),143.0,10.56,7.9,7.7,1.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, ground, with egg and onion",Survey (FNDDS),131.0,5.85,14.9,5.4,1.1,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, neck bones",Survey (FNDDS),206.0,29.08,0.0,9.72,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, NFS",Survey (FNDDS),140.0,13.2,10.74,5.1,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Survey (FNDDS),326.0,18.26,0.0,27.59,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",Survey (FNDDS),253.0,18.2,12.13,14.1,0.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Survey (FNDDS),125.0,8.12,6.59,7.28,0.7,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Survey (FNDDS),225.0,25.97,0.21,13.43,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Survey (FNDDS),306.0,19.9,7.94,21.05,0.3,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Survey (FNDDS),187.0,28.83,0.0,7.1,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",Survey (FNDDS),243.0,29.13,0.0,14.09,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Survey (FNDDS),229.0,27.0,0.0,12.88,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Survey (FNDDS),289.0,23.5,0.0,21.64,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Survey (FNDDS),230.0,26.47,0.0,13.83,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, oxtails",Survey (FNDDS),260.0,24.99,0.0,17.73,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, pot roast",Survey (FNDDS),166.0,29.72,0.0,4.25,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Survey (FNDDS),262.0,26.23,0.0,16.65,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Survey (FNDDS),216.0,28.05,0.0,11.32,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Survey (FNDDS),239.0,27.14,0.0,13.98,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Survey (FNDDS),262.0,26.23,0.0,16.65,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Survey (FNDDS),216.0,28.05,0.0,11.32,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Survey (FNDDS),239.0,27.14,0.0,13.98,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Survey (FNDDS),274.0,25.2,0.0,18.42,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Survey (FNDDS),230.0,27.12,0.0,12.69,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Survey (FNDDS),252.0,26.16,0.0,15.56,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Survey (FNDDS),251.0,28.39,0.0,15.35,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Survey (FNDDS),117.0,7.52,4.45,7.96,1.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",Survey (FNDDS),115.0,7.3,4.75,7.68,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, prepackaged or deli, luncheon meat",Survey (FNDDS),43.0,0.46,3.55,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, prepackaged or deli, luncheon meat, reduced sodium",Survey (FNDDS),58.0,0.9,0.27,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Survey (FNDDS),29.0,0.24,1.64,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Survey (FNDDS),37.0,0.21,8.05,0.12,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",Survey (FNDDS),48.0,2.3,4.51,2.87,3.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Survey (FNDDS),25.0,0.72,5.91,0.06,1.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Survey (FNDDS),53.0,0.89,7.0,2.69,1.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Survey (FNDDS),31.0,0.91,7.21,0.14,1.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Survey (FNDDS),53.0,0.84,6.79,2.79,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Survey (FNDDS),67.0,1.63,9.65,2.82,2.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",Survey (FNDDS),45.0,1.67,9.93,0.18,2.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Survey (FNDDS),53.0,0.89,7.0,2.69,1.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Survey (FNDDS),65.0,0.8,16.28,0.08,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Survey (FNDDS),417.0,5.46,53.69,20.18,1.9,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
"Beef, roast",Survey (FNDDS),52.0,0.76,12.47,0.34,4.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, roast, hash",Survey (FNDDS),44.0,0.66,9.94,0.25,2.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, sandwich steak",Survey (FNDDS),76.0,5.5,8.11,2.44,1.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, shortribs",Survey (FNDDS),261.0,11.94,21.53,14.1,1.4,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, sliced, with gravy, potatoes, vegetable, frozen meal",Survey (FNDDS),104.0,7.15,13.55,2.38,1.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, steak, chuck",Survey (FNDDS),145.0,8.5,12.19,6.79,1.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, steak, country fried",Survey (FNDDS),109.0,1.93,17.91,3.2,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, steak, cube",Survey (FNDDS),190.0,9.2,11.06,12.24,1.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, steak, flank",Survey (FNDDS),363.0,6.7,46.47,17.05,2.7,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beef, steak, NFS",Survey (FNDDS),224.0,6.2,16.98,14.68,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, steak, ribeye, lean and fat eaten",Survey (FNDDS),374.0,8.7,38.78,20.43,2.2,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beef, steak, ribeye, lean only eaten",Survey (FNDDS),370.0,7.08,42.82,18.92,2.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beef, steak, ribeye, NS as to fat eaten",Survey (FNDDS),324.0,6.79,49.05,11.22,2.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beef, steak, round",Survey (FNDDS),350.0,7.03,44.89,15.97,1.4,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beef, steak, sirloin, lean and fat eaten",Survey (FNDDS),370.0,7.08,42.82,18.92,2.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beef, steak, sirloin, lean only eaten",Survey (FNDDS),362.0,7.5,43.9,18.19,4.5,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beef, steak, sirloin, NS as to fat eaten",Survey (FNDDS),178.0,25.25,0.0,8.55,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, steak, strip, lean and fat eaten",Survey (FNDDS),41.0,0.82,4.19,2.72,1.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, steak, strip, lean only eaten",Survey (FNDDS),56.0,3.49,6.47,2.74,1.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, steak, strip, NS as to fat eaten",Survey (FNDDS),94.0,3.08,12.61,3.85,3.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, steak, T-bone,  lean and fat eaten",Survey (FNDDS),168.0,6.28,17.36,8.45,2.6,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, steak, T-bone, lean only eaten",Survey (FNDDS),158.0,5.91,23.52,4.65,5.3,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, steak, T-bone, NS as to fat eaten",Survey (FNDDS),182.0,5.82,23.66,7.09,4.9,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, steak, tenderloin",Survey (FNDDS),160.0,6.01,24.42,4.32,5.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beef, stew meat",Survey (FNDDS),279.0,0.04,21.21,0.14,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beef, tofu, and vegetables excluding carrots, broccoli,  and dark-green leafy; no potatoes, soy-based sauce",Survey (FNDDS),64.0,1.18,15.67,0.43,5.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beef, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Survey (FNDDS),38.0,0.3,7.8,0.6,0.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
Beer,Survey (FNDDS),379.0,14.6,1.29,34.5,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beer, higher alcohol",Survey (FNDDS),73.0,0.67,3.8,0.23,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beer, light",Survey (FNDDS),88.0,1.04,22.66,0.4,2.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beer, nonalcoholic",Survey (FNDDS),115.0,1.52,25.6,1.01,1.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beet greens, cooked",Survey (FNDDS),300.0,1.44,15.18,26.06,1.1,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
Beet juice,Survey (FNDDS),51.0,0.42,12.17,0.64,2.7,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beets, canned, cooked, fat added",Survey (FNDDS),42.0,0.46,9.47,0.2,1.6,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"Beets, canned, cooked, no added fat",Survey (FNDDS),181.0,0.41,44.38,0.2,2.6,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"Beets, canned, reduced sodium, cooked",Survey (FNDDS),341.0,0.0,85.13,0.0,0.1,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beets, fresh, cooked, fat added",Survey (FNDDS),281.0,10.34,6.31,23.77,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"Beets, fresh, cooked, no added fat",Survey (FNDDS),272.0,10.89,26.54,13.53,2.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
